               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  81,            0.017987,           0.0063927,          0.00077576,             0.96352,             0.95879,             0.98402,              0.8789,            0.013516,           0.0046437,          0.00071869,             0.00208,             0.00208,             0.00208
                  82,            0.017462,           0.0058654,          0.00080905,             0.96985,             0.96021,             0.98715,              0.9085,            0.013215,           0.0044467,          0.00068326,            0.001981,            0.001981,            0.001981
                  83,            0.018427,           0.0060777,          0.00069433,             0.96499,             0.95513,             0.98844,             0.89402,            0.012559,           0.0043712,          0.00065637,            0.001882,            0.001882,            0.001882
                  84,            0.018528,           0.0061435,          0.00067084,             0.95751,             0.95968,             0.98734,             0.83648,            0.013592,           0.0045211,          0.00064125,            0.001783,            0.001783,            0.001783
                  85,             0.01602,           0.0055493,          0.00069746,             0.96405,             0.95513,             0.98846,              0.8892,            0.013848,           0.0044801,          0.00062113,            0.001684,            0.001684,            0.001684
                  86,            0.015919,           0.0058075,          0.00065236,             0.96373,             0.96056,             0.98764,             0.88333,            0.013403,           0.0044143,          0.00060558,            0.001585,            0.001585,            0.001585
                  87,            0.016573,           0.0056697,          0.00068504,             0.96398,             0.96321,             0.98617,             0.88056,            0.013323,           0.0044804,          0.00058193,            0.001486,            0.001486,            0.001486
                  88,            0.015147,           0.0056026,          0.00061265,             0.96377,             0.95796,             0.98723,             0.91624,            0.013058,           0.0044794,          0.00058017,            0.001387,            0.001387,            0.001387
                  89,             0.01583,           0.0058662,          0.00059161,              0.9658,             0.95513,             0.98891,             0.91549,             0.01274,           0.0044525,          0.00056896,            0.001288,            0.001288,            0.001288
                  90,            0.015814,           0.0058511,          0.00057342,             0.96624,             0.95513,             0.98945,             0.87534,            0.012649,           0.0043406,          0.00055022,            0.001189,            0.001189,            0.001189
                  91,            0.016687,            0.006769,          0.00063754,             0.96459,             0.95513,             0.98985,             0.85832,            0.012364,           0.0042512,          0.00052938,             0.00109,             0.00109,             0.00109
                  92,            0.015385,           0.0066566,          0.00056572,             0.97029,             0.95937,             0.99047,             0.89612,             0.01242,           0.0042229,          0.00051937,            0.000991,            0.000991,            0.000991
                  93,            0.015336,           0.0067478,          0.00055181,             0.97026,             0.95957,             0.99095,             0.89099,            0.012485,           0.0041983,          0.00050569,            0.000892,            0.000892,            0.000892
                  94,              0.0143,            0.006228,          0.00055795,             0.97028,             0.95836,             0.99109,             0.90083,            0.011933,           0.0040905,          0.00049362,            0.000793,            0.000793,            0.000793
                  95,            0.014908,           0.0058329,              0.0005,              0.9702,             0.95806,             0.99145,             0.91453,            0.012027,            0.004091,          0.00047853,            0.000694,            0.000694,            0.000694
                  96,            0.014728,            0.006194,          0.00054623,             0.97037,             0.95777,             0.99144,             0.90563,            0.011925,           0.0040619,          0.00046992,            0.000595,            0.000595,            0.000595
                  97,            0.014885,           0.0055388,           0.0004992,             0.97029,             0.95787,             0.99114,             0.91746,            0.011968,           0.0040846,          0.00045993,            0.000496,            0.000496,            0.000496
                  98,            0.014907,           0.0057078,          0.00051001,             0.97044,             0.95797,             0.99139,             0.90556,            0.011797,           0.0040689,          0.00045521,            0.000397,            0.000397,            0.000397
                  99,            0.013823,           0.0052209,          0.00049356,             0.97036,              0.9579,             0.99169,             0.91896,             0.01167,           0.0040381,          0.00044911,            0.000298,            0.000298,            0.000298
